page,title,search_intent,product_or_scope,suggested_next_step,evidence
about.html,About Interview Sarthi: who builds it and why,"Brand identity, policies and trust",All three,Relevant product or support,Intent inferred from page content; no search-volume or Search Console data
ai-interview-assistant-india.html,AI Interview Assistants in India: How to Choose,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
ai-interview-statistics-india.html,AI and Interview Research in India: Sources and Limits,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
apply/auto-apply-jobs-india.html,Auto apply for jobs in India: how the tools actually work,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/best-auto-apply-tools-india.html,"Auto-apply job tools for India, compared (September 2026)",Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/guides/ats-resume-format-india.html,ATS resume format for Indian job applications,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/guides/index.html,Guides to applying for jobs in India,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/guides/naukri-auto-apply.html,Auto-apply on Naukri: what works and what Naukri blocks,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/guides/why-no-interview-calls.html,You applied to 200 jobs and heard nothing. What to change,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/index.html,Jobs from Multiple Portals & Application Autofill | Apply Sarthi,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/is-auto-apply-safe.html,Is auto-applying to jobs safe? What can actually go wrong,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/job-application-statistics-india.html,"What 60,975 open jobs in India actually contain",Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/vs-aiapply.html,ApplySarthi vs AIApply: a suite against a specialist,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/vs-jobright-ai.html,"ApplySarthi vs Jobright AI: strong matching, different market",Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/vs-lazyapply.html,ApplySarthi vs LazyApply: volume against aim,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/vs-loopcv.html,ApplySarthi vs LoopCV: auto-apply and outbound email,Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
apply/vs-simplify-jobs.html,"ApplySarthi vs Simplify: the closest match, different coverage",Job search and application research,Apply,/apply/,Intent inferred from page content; no search-volume or Search Console data
best-ai-interview-assistant-india.html,Best AI Interview Assistant in India: 7 Tools Compared,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
can-interviewer-see-my-screen.html,Can Interviewers See Your Screen? Sharing & Capture Limits,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
facts.html,"Live Sarthi: Product Facts, Pricing and Official Links | InterviewSarthi","Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
free-gemini-api-key-guide.html,Gemini API Key Setup: Limits and Interview Sarthi,"Live interview assistance, setup or comparison",Live,/live/,Intent inferred from page content; no search-volume or Search Console data
guides/accenture-cognizant-capgemini-hr-interview.html,"Accenture, Cognizant and Capgemini HR interview questions: practice answers",Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/accenture-interview-questions-freshers.html,Accenture interview questions for freshers: practice guide,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/ai-in-interviews-rules.html,Is It OK to Use AI in a Job Interview? An Honest Answer,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/capgemini-interview-questions-freshers.html,Capgemini interview questions for freshers: practice guide,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/career-gap-explanation-interview.html,How to explain a career gap in an interview: every type (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/cognizant-interview-questions-freshers.html,Cognizant GenC interview questions for freshers: practice guide,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/first-job-interview-guide-freshers.html,First job interview guide for freshers: India (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/hinglish-interview-answers.html,How to Answer Interview Questions in Hinglish (2026),Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
guides/index.html,Interview Guides: straight answers on interviewing in India,Interview preparation and answer examples,Prep,/prep/,Intent inferred from page content; no search-volume or Search Console data
